usuario,num_tweets,num_amigos,num_seguidores
tom_santam,19,174,50
olivaresabara,3050,239,883
Elias_pankus,6,45,0
Nicole31600480,4,12,0
ivonne_gg,179,217,24
Pame271076,64,186,18
AmiyahNP,52,137,12
CamilaGainza1,0,29,0
MARIASOLANGEPA3,4,34,2
cotegp,1,56,5
marquez_anyelo,272,547,161
_KarenS,0,11,1
Karliz05905612,0,20,0
logan7720,0,71,1
Makishi_FN,1,17,3
blondiecl2,0,31,6
RaulSauerbaum,1,155,3
jeria_rocio,1,92,1
DL_1981,93,141,12
Alexand65344524,117,261,32
pamerh,8,288,34
Vichoo_YG,0,90,1
Yaneth08300048,0,18,0
Luis42340669,0,11,0
AlexiMoralesZa1,4,2535,128
Mcaroli56252027,0,26,1
DanielAndrsDa10,4,92,6
Lvillanuevaoss1,9,85,7
XimenaSilva22,12,117,5
mabeldi10444135,0,13,0
BelgicaPuentes,0,7,0
ConstanzaVmc,497,215,179
lieceloth,0,78,1
Juanign34082741,0,13,1
rboa2,274,187,51
Josedamian72,154,36,6
GersonRubio13,0,22,0
NayaKassy,0,35,1
Rossi92363617,0,5,0
reynaarvalo3,0,4,0
MariaPaula_U,3500,218,156
Enola69318187,2,66,0
CoteViego,8,60,23
marcelo_lavado,0,42,0
ZepedaMatia,0,43,0
Natalia07580641,0,12,0
TheRealBigKabu,7788,408,219
kineosorio,768,607,154
Cecilia43365040,0,2,1
andreasalomon79,17,183,21
Sarita76858940,7,68,0
Javier00613825,0,29,3
GRaibaudi,0,145,17
DonosoN4cho,2,24,3
BrevilViviana,0,83,0
Marcela96287233,2,62,0
camor2006,7,17,0
Robertita_F,2482,138,18
CarlosBravoA3,0,58,0
Claudia34923178,0,48,2
yanez_lazo,0,40,0
ParkHye22372443,1,77,0
Nena7Bella,0,10,0
MM_s___________,25546,474,438
GuillermoRenCo2,0,30,1
dlh_panda,0,34,9
Sigrid37198905,1,7,0
patyPea49955139,5,68,3
silvialobosmar1,15,25,3
margaritavigue1,5,87,4
leiva_retamal,5,49,0
HalfLion1,6,102,4
Amyra_28,107,107,44
hmrmagma,3,60,1
gripada,11,259,2
Nicolss27694852,1,22,0
xiinnyta,34,209,9
lorett_ann,0,14,0
si89943828,2,77,0
MauroEx57553526,0,16,1
vicortega16,4,20,6
miguelm56154649,0,117,0
igtorresz,0,105,0
marjorc25,0,98,2
janetherreramo1,0,29,1
tatianazenten10,1,51,5
antillanca_jose,20,59,1
LauraChavezBra1,0,9,3
LuisRiv89176016,0,15,0
Mara89941572,2,11,0
jesus_sims,158,336,114
RiosUnion,0,12,0
Priscil10037698,0,44,1
ContastiJorge,45,16,2
EduardoFariasG6,0,25,0
Aire_Sur_Chile,17661,996,4542
munox_rosa,0,16,0
